Districts of Berlin,Latitude,Longitude
Charlottenburg-Wilmersdorf,52.5078558,13.2639518
Friedrichshain-Kreuzberg,52.5153063,13.4616117
Lichtenberg,52.5321606,13.5118927
Marzahn-Hellersdorf,52.5225225,13.5876634
Mitte,52.5176896,13.4023757
Neukölln,52.4811497,13.4353501
Pankow,52.5976366,13.4363739
Reinickendorf,52.6047631,13.2952872
Spandau,52.5357880,13.1977924
Steglitz-Zehlendorf,52.4292052,13.2299741
Tempelhof-Schöneberg,52.4406033,13.3737035
Treptow-Köpenick,52.4178933,13.6001848
